0.005 0.012 0.545 0.917   -1.0
0.393 0.245 0.233 0.482   -1.0
0.989 0.914 0.411 0.217   1.0
0.709 0.647 0.418 0.438   1.0
0.272 0.816 0.906 0.781   1.0
0.215 0.193 0.186 0.105   -1.0
0.921 0.110 0.882 0.532   1.0
0.951 0.356 0.921 0.249   1.0
0.838 0.913 0.834 0.500   1.0
0.223 0.128 0.957 0.730   1.0
0.199 0.642 0.501 0.088   -1.0
0.906 0.755 0.508 0.368   1.0
0.115 0.202 0.749 0.982   1.0
0.073 0.136 0.607 0.687   -1.0
0.540 0.979 0.507 0.725   1.0
0.728 0.797 0.611 0.142   1.0
0.298 0.236 0.081 0.167   -1.0
0.939 0.857 0.248 0.073   1.0
0.026 0.811 0.520 0.031   -1.0
0.138 0.879 0.829 0.894   1.0
0.956 0.571 0.846 0.440   1.0
0.537 0.024 0.523 0.926   1.0
0.914 0.751 0.049 0.925   1.0
0.014 0.726 0.412 0.096   -1.0
0.817 0.558 0.915 0.941   1.0
0.119 0.126 0.756 0.400   -1.0
0.458 0.988 0.163 0.780   1.0
0.699 0.087 0.303 0.867   1.0*
0.514 0.205 0.025 0.653   -1.0
0.573 0.704 0.178 0.725   -1.0*
0.785 0.795 0.602 0.222   1.0
0.441 0.019 0.392 0.837   -1.0
0.590 0.302 0.055 0.701   -1.0
0.314 0.332 0.126 0.226   -1.0
0.344 0.290 0.102 0.264   -1.0
0.889 0.061 0.140 0.896   -1.0
0.536 0.431 0.607 0.747   1.0
0.094 0.793 0.628 0.194   -1.0
0.975 0.370 0.227 0.942   1.0
0.015 0.054 0.229 0.877   -1.0
0.137 0.039 0.406 0.893   -1.0
0.409 0.496 0.278 0.879   1.0
0.112 0.215 0.487 0.093   -1.0
0.408 0.909 0.392 0.687   -1.0*
0.924 0.229 0.572 0.005   -1.0
0.642 0.657 0.815 0.396   -1.0*
0.169 0.266 0.012 0.448   -1.0
0.320 0.093 0.081 0.925   -1.0
0.995 0.409 0.281 0.857   1.0
0.614 0.288 0.294 0.817   1.0
0.622 0.097 0.579 0.677   -1.0
0.375 0.111 0.129 0.520   -1.0
0.993 0.476 0.845 0.005   1.0
0.686 0.502 0.279 0.233   -1.0
0.830 0.071 0.266 0.565   -1.0
0.356 0.784 0.066 0.419   -1.0
0.535 0.677 0.754 0.791   1.0
0.076 0.193 0.941 0.071   -1.0
0.131 0.195 0.504 0.956   -1.0
0.970 0.579 0.237 0.847   1.0
0.846 0.806 0.700 0.394   1.0
0.547 0.600 0.488 0.445   1.0
0.227 0.075 0.836 0.632   -1.0
0.991 0.792 0.384 0.191   1.0
0.905 0.904 0.124 0.326   1.0
0.117 0.796 0.814 0.813   1.0
0.400 0.391 0.128 0.774   -1.0
0.706 0.855 0.849 0.013   1.0
0.877 0.098 0.301 0.279   -1.0
0.952 0.637 0.794 0.743   -1.0*
0.599 0.778 0.548 0.177   1.0
0.045 0.552 0.048 0.250   -1.0
0.095 0.753 0.520 0.737   1.0
0.098 0.190 0.108 0.043   -1.0
0.908 0.531 0.064 0.857   1.0
